engine_name,display_name,distance_m,i_have_kevlar,p_win_vs_ak
hkp2000,P2000,12.5,False,0.0
hkp2000,P2000,15.0,True,0.0008
hkp2000,P2000,15.0,False,0.0
hkp2000,P2000,20.0,True,0.0002
hkp2000,P2000,20.0,False,0.0002
hkp2000,P2000,25.0,True,0.0114
hkp2000,P2000,25.0,False,0.0022
hkp2000,P2000,30.0,True,0.0372
hkp2000,P2000,30.0,False,0.01
hkp2000,P2000,40.0,True,0.1046
hkp2000,P2000,40.0,False,0.0385
m249,M249,2.5,True,1.0
m249,M249,2.5,False,0.0
m249,M249,5.0,True,1.0
m249,M249,5.0,False,0.0
m249,M249,7.5,True,1.0
m249,M249,7.5,False,0.0
m249,M249,10.0,True,0.0
m249,M249,10.0,False,0.0
m249,M249,12.5,True,0.0958
m249,M249,12.5,False,0.0
m249,M249,15.0,True,0.3001
m249,M249,15.0,False,0.0473
m249,M249,20.0,True,0.3106
m249,M249,20.0,False,0.1126
m249,M249,25.0,True,0.2198
m249,M249,25.0,False,0.082
m249,M249,30.0,True,0.2132
m249,M249,30.0,False,0.0998
m249,M249,40.0,True,0.23570000000000002
m249,M249,40.0,False,0.1241
m4a1,M4A4,2.5,True,0.0
m4a1,M4A4,2.5,False,0.0
m4a1,M4A4,5.0,True,0.0
m4a1,M4A4,5.0,False,0.0
m4a1,M4A4,7.5,True,0.0
m4a1,M4A4,7.5,False,0.0
m4a1,M4A4,10.0,True,0.0
m4a1,M4A4,10.0,False,0.0
m4a1,M4A4,12.5,True,0.121
m4a1,M4A4,12.5,False,0.0
m4a1,M4A4,15.0,True,0.3984
m4a1,M4A4,15.0,False,0.0652
m4a1,M4A4,20.0,True,0.5792
m4a1,M4A4,20.0,False,0.1904
m4a1,M4A4,25.0,True,0.6742
m4a1,M4A4,25.0,False,0.273
m4a1,M4A4,30.0,True,0.7096
m4a1,M4A4,30.0,False,0.4168
m4a1,M4A4,40.0,True,0.7004
m4a1,M4A4,40.0,False,0.4758
m4a1_silencer,M4A1-S,2.5,True,0.5
m4a1_silencer,M4A1-S,2.5,False,0.0
m4a1_silencer,M4A1-S,5.0,True,0.5
m4a1_silencer,M4A1-S,5.0,False,0.0
m4a1_silencer,M4A1-S,7.5,True,0.5
m4a1_silencer,M4A1-S,7.5,False,0.0
m4a1_silencer,M4A1-S,10.0,True,0.5
m4a1_silencer,M4A1-S,10.0,False,0.0
m4a1_silencer,M4A1-S,12.5,True,0.5625
m4a1_silencer,M4A1-S,12.5,False,0.0
m4a1_silencer,M4A1-S,15.0,True,0.37060000000000004
m4a1_silencer,M4A1-S,15.0,False,0.0582
m4a1_silencer,M4A1-S,20.0,True,0.6542
m4a1_silencer,M4A1-S,20.0,False,0.2471
m4a1_silencer,M4A1-S,25.0,True,0.7838999999999999
m4a1_silencer,M4A1-S,25.0,False,0.3951
m4a1_silencer,M4A1-S,30.0,True,0.814
m4a1_silencer,M4A1-S,30.0,False,0.5244
m4a1_silencer,M4A1-S,40.0,True,0.8203
m4a1_silencer,M4A1-S,40.0,False,0.6088
mac10,MAC-10,2.5,True,0.0
mac10,MAC-10,2.5,False,0.0
